"id","name","url","thumbnail_image_url","recipe_kind_id"
71,"蛍烏賊沖漬け","https://chefgohan.gnavi.co.jp/detail/4481","https://c-chefgohan.gnst.jp/imgdata/recipe/81/44/4481/rc732x546_1610051904_3ddaba3fa6bbc6de97e6d8bc4c37b3c1.jpg",1
72,"牡蠣釜飯","https://chefgohan.gnavi.co.jp/detail/4480","https://c-chefgohan.gnst.jp/imgdata/recipe/80/44/4480/rc732x546_1609201828_f021bcd121ee0ca6ee677eb2b25be7ba.jpg",1
73,"寿司屋直伝　三色巻き（鉄火・かっぱ・たくあん）","https://chefgohan.gnavi.co.jp/detail/4900","https://c-chefgohan.gnst.jp/imgdata/recipe/00/49/4900/rc732x546_1701201722_51a560d317d856461708ba0c7ef973b4.jpg",1
74,"銀ダラの粕漬け","https://chefgohan.gnavi.co.jp/detail/4882","https://c-chefgohan.gnst.jp/imgdata/recipe/82/48/4882/rc732x546_1701201844_429e219873b60dc9f39997aaef14dd2a.jpg",1
75,"うどん屋直伝　揚げ餅うどん","https://chefgohan.gnavi.co.jp/detail/4930","https://c-chefgohan.gnst.jp/imgdata/recipe/30/49/4930/rc732x546_1702221848_ef282cf603a6b1d86cbe16df85f8dcab.jpg",1
76,"季節野菜の鶏そぼろ餡かけ","https://chefgohan.gnavi.co.jp/detail/4931","https://c-chefgohan.gnst.jp/imgdata/recipe/31/49/4931/rc732x546_1702221855_a6017b63adfd1b5a10e2e09f32fe1898.jpg",1
77,"大根サラダ","https://chefgohan.gnavi.co.jp/detail/4932","https://c-chefgohan.gnst.jp/imgdata/recipe/32/49/4932/rc732x546_1702221908_0869cd6bfee33f5695c301cd6e909ef9.jpg",1
78,"合鴨と茄子の治部煮","https://chefgohan.gnavi.co.jp/detail/5003","https://c-chefgohan.gnst.jp/imgdata/recipe/03/50/5003/rc732x546_1703220959_01586f2a0ddf1ebaf8141df069de48de.jpg",1
79,"オムライス","https://chefgohan.gnavi.co.jp/detail/108","https://c-chefgohan.gnst.jp/imgdata/recipe/08/01/108/rc732x546_1209240459_08666b76d5ba3dd190740bab0f29b16f.jpg",2
80,"エビフライ","https://chefgohan.gnavi.co.jp/detail/109","https://c-chefgohan.gnst.jp/imgdata/recipe/09/01/109/rc732x546_1209211010_de2ea37ed951ef5726e13e2e9ebbcbc8.jpg",2
